num_trials,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1score_mean
1,0.5533333333333333,0.0,0.5539471318108254,0.5533333333333333,0.5520591905865573
2,0.5549999999999999,0.0016666666666666496,0.5556755604126389,0.5549999999999999,0.5536488393101774
3,0.541111111111111,0.019688939051854842,0.5426285041198898,0.541111111111111,0.5319594382473248
4,0.5441666666666666,0.017853571071357134,0.5453047114232507,0.5441666666666666,0.537302912018827
5,0.5466666666666666,0.016733200530681516,0.5479009119957434,0.5466666666666666,0.5405556163283484
