num_trials,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1score_mean
1,0.5666666666666667,0.0,0.576593137254902,0.5666666666666667,0.5521565385145377
2,0.5583333333333333,0.008333333333333304,0.5641336914054584,0.5583333333333333,0.5492408864565833
3,0.5577777777777778,0.00684934889218773,0.5648325695027611,0.5577777777777778,0.5461815705563052
4,0.56,0.007071067811865455,0.5670212089167097,0.56,0.548694482045398
5,0.5566666666666668,0.009189365834726801,0.5623711758875766,0.5566666666666668,0.5473933467056584
