model,trial,seed,accuracy,precision,recall,f1score,duration_seconds
QuantumNN,1,2042,0.5666666666666667,0.576593137254902,0.5666666666666667,0.5521565385145377,35.498589
QuantumNN,2,2043,0.55,0.5516742455560149,0.55,0.5463252343986289,36.047631
QuantumNN,3,2044,0.5566666666666666,0.5662303256973664,0.5566666666666666,0.5400629387557492,35.273667
QuantumNN,4,2045,0.5666666666666667,0.5735871271585558,0.5666666666666667,0.5562332165126759,37.051175
QuantumNN,5,2046,0.5433333333333333,0.5437710437710439,0.5433333333333333,0.5421888053467001,36.799539
