model,trial,seed,accuracy,precision,recall,f1score,duration_seconds
QuantumCNN,1,3042,0.9866666666666667,0.987012987012987,0.9866666666666667,0.9866642958748222,32.675737
QuantumCNN,2,3043,0.9833333333333333,0.9835267440309456,0.9833333333333333,0.9833316664999833,32.636814
QuantumCNN,3,3044,0.9833333333333333,0.9838709677419354,0.9833333333333333,0.9833287024173382,32.336204
QuantumCNN,4,3045,0.9833333333333333,0.9835267440309456,0.9833333333333333,0.9833316664999833,32.253222
QuantumCNN,5,3046,0.9866666666666667,0.987012987012987,0.9866666666666667,0.9866642958748222,32.314647
