num_trials,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1score_mean
1,0.9866666666666667,0.0,0.987012987012987,0.9866666666666667,0.9866642958748222
2,0.985,0.0016666666666667052,0.9852698655219663,0.985,0.9849979811874028
3,0.9844444444444443,0.0015713484026368086,0.984803566261956,0.9844444444444443,0.9844415549307146
4,0.9841666666666666,0.0014433756729740977,0.9844843607042034,0.9841666666666666,0.9841640828230318
5,0.9846666666666666,0.0016329931618554898,0.9849900859659602,0.9846666666666666,0.98466412543339
