num_trials,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1score_mean
1,0.5766666666666667,0.0,0.5850130599773299,0.5766666666666667,0.5660147395518903
2,0.5666666666666667,0.010000000000000009,0.5825027656370745,0.5666666666666667,0.5439105445503312
3,0.5711111111111111,0.01030402055055078,0.5819028480622103,0.5711111111111111,0.5556348087152609
4,0.5658333333333334,0.012774758097296555,0.5868773215502321,0.5658333333333334,0.5378289569139075
5,0.5626666666666666,0.01306394529484359,0.5842318081403494,0.5626666666666666,0.5324075327917723
