model,trial,seed,accuracy,precision,recall,f1score,duration_seconds
ClassicalNN,1,42,0.9666666666666667,0.96741452991453,0.9666666666666667,0.9666533279978657,4.012687
ClassicalNN,2,43,0.9733333333333334,0.9740918803418803,0.9733333333333334,0.9733226623982925,1.346268
ClassicalNN,3,44,0.9766666666666667,0.9771968854282536,0.9766666666666667,0.9766601833842734,1.377867
ClassicalNN,4,45,0.9633333333333334,0.9650073598287168,0.9633333333333334,0.9633003036065793,1.399273
ClassicalNN,5,46,0.9733333333333334,0.9740918803418803,0.9733333333333334,0.9733226623982925,1.354216
