num_trials,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1score_mean
1,0.5233333333333333,0.0,0.5233592880978866,0.5233333333333333,0.523200889135871
2,0.5549999999999999,0.031666666666666676,0.5559656178861526,0.5549999999999999,0.5538163612755632
3,0.5422222222222222,0.031544599036840856,0.5428960055609935,0.5422222222222222,0.5412162331956396
4,0.5441666666666667,0.0275252409415229,0.5453077755032377,0.5441666666666667,0.5420342520300427
5,0.5473333333333333,0.025420901286583492,0.5487462204025901,0.5473333333333333,0.5447385127351453
