model,trial,seed,accuracy,precision,recall,f1score,duration_seconds
QuantumCNN,1,3042,0.9866666666666667,0.987012987012987,0.9866666666666667,0.9866642958748222,34.310346
QuantumCNN,2,3043,0.9833333333333333,0.9835267440309456,0.9833333333333333,0.9833316664999833,34.054341
QuantumCNN,3,3044,0.9833333333333333,0.9838709677419354,0.9833333333333333,0.9833287024173382,35.301875
QuantumCNN,4,3045,0.9833333333333333,0.9835267440309456,0.9833333333333333,0.9833316664999833,34.750289
QuantumCNN,5,3046,0.9866666666666667,0.987012987012987,0.9866666666666667,0.9866642958748222,34.360943
QuantumCNN,1,3042,0.99,0.9900217787457221,0.99,0.9899998888876543,55.81951
QuantumCNN,2,3043,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667,55.954705
QuantumCNN,3,3044,0.99,0.9900217787457221,0.99,0.9899998888876543,55.514574
