model,trial,seed,accuracy,precision,recall,f1score,duration_seconds
QuantumNN,1,2042,0.9833333333333333,0.9838709677419354,0.9833333333333333,0.9833287024173382,37.391419
QuantumNN,2,2043,0.98,0.9807692307692307,0.98,0.9799919967987194,36.102429
QuantumNN,3,2044,0.9866666666666667,0.987012987012987,0.9866666666666667,0.9866642958748222,36.289589
QuantumNN,4,2045,0.9733333333333334,0.9746835443037974,0.9733333333333334,0.9733143568760007,36.256114
QuantumNN,5,2046,0.98,0.9803415762319873,0.98,0.9799964438122334,37.212769
QuantumNN,1,2042,0.9833333333333333,0.9835267440309456,0.9833333333333333,0.9833316664999833,57.739594
QuantumNN,2,2043,0.98,0.9807692307692307,0.98,0.9799919967987194,59.079768
QuantumNN,3,2044,0.9066666666666666,0.9213483146067415,0.9066666666666666,0.9058464849354376,58.280087
