num_trials,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1score_mean
1,0.6333333333333333,0.0,0.6335470085470085,0.6333333333333333,0.6331866079765239
2,0.6383333333333333,0.0050000000000000044,0.6385965856507256,0.6383333333333333,0.6381628251720175
3,0.6311111111111111,0.010999438818457384,0.6433557343664166,0.6311111111111111,0.6229553965359245
4,0.62,0.021473497877875197,0.6397930189951514,0.62,0.6046312004453795
5,0.6153333333333333,0.02135415650406261,0.631175484957359,0.6153333333333333,0.6030302262162229
6,0.6183333333333333,0.020615528128088288,0.6315707388889672,0.6183333333333333,0.6080562898429398
7,0.621904761904762,0.02099562636671294,0.633295799441178,0.621904761904762,0.6130681116321642
8,0.6212500000000001,0.019715863607201616,0.6357430784857556,0.6212500000000001,0.6105021650861111
9,0.6174074074074075,0.021532506449997962,0.6350055000852667,0.6174074074074075,0.6037417703180704
10,0.6153333333333334,0.02135415650406261,0.631175484957359,0.6153333333333334,0.603030226216223
