num_trials,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1score_mean
1,0.5533333333333333,0.0,0.6107419712070875,0.5533333333333333,0.4868259803921568
2,0.5666666666666667,0.013333333333333308,0.6149578500103234,0.5666666666666667,0.5146105108972551
3,0.5733333333333334,0.014401645996461902,0.6102060114163707,0.5733333333333334,0.5336551192559953
4,0.5633333333333334,0.02134374745810949,0.5999579415633853,0.5633333333333334,0.516203349245918
5,0.5653333333333334,0.01950498511777039,0.6034773250375421,0.5653333333333334,0.5187711566337831
