model,trial,seed,accuracy,precision,recall,f1score,duration_seconds
ClassicalNN,1,42,0.5533333333333333,0.6107419712070875,0.5533333333333333,0.4868259803921568,2.989832
ClassicalNN,2,43,0.58,0.6191737288135593,0.58,0.5423950414023534,1.474916
ClassicalNN,3,44,0.5866666666666667,0.6007023342284651,0.5866666666666667,0.5717443359734757,1.480481
ClassicalNN,4,45,0.5333333333333333,0.5692137320044297,0.5333333333333333,0.4638480392156863,1.471015
ClassicalNN,5,46,0.5733333333333334,0.6175548589341692,0.5733333333333334,0.5290423861852432,1.493457
