model,trial,seed,accuracy,precision,recall,f1score,duration_seconds
QuantumNN,1,2042,0.5766666666666667,0.5779167984100456,0.5766666666666667,0.5749617911846405,52.624795
QuantumNN,2,2043,0.5833333333333334,0.5857142857142857,0.5833333333333334,0.5804195804195804,52.347969
QuantumNN,3,2044,0.6,0.6206046312178388,0.6,0.5821533033102744,52.241821
QuantumNN,4,2045,0.5766666666666667,0.5822250822250823,0.5766666666666667,0.5693893466246228,52.342388
QuantumNN,5,2046,0.57,0.5756520486094433,0.57,0.5618156908479489,52.27043
