model,trial,seed,accuracy,precision,recall,f1score,duration_seconds
QuantumCNN,1,3042,0.5233333333333333,0.5233592880978866,0.5233333333333333,0.523200889135871,32.994771
QuantumCNN,2,3043,0.5866666666666667,0.5885719476744187,0.5866666666666667,0.5844318334152554,32.639534
QuantumCNN,3,3044,0.5166666666666667,0.5167567809106752,0.5166666666666667,0.5160159770357925,32.793988
QuantumCNN,4,3045,0.55,0.5525430853299705,0.55,0.5444883085332524,32.708588
QuantumCNN,5,3046,0.56,0.5625,0.56,0.5555555555555555,32.599248
