num_trials,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1score_mean
1,0.5766666666666667,0.0,0.5850130599773299,0.5766666666666667,0.5660147395518903
2,0.5666666666666667,0.010000000000000009,0.5825027656370745,0.5666666666666667,0.5439105445503312
3,0.5711111111111111,0.01030402055055078,0.5819028480622103,0.5711111111111111,0.5556348087152609
4,0.5658333333333334,0.012774758097296555,0.5868773215502321,0.5658333333333334,0.5378289569139075
5,0.5626666666666666,0.01306394529484359,0.5842318081403494,0.5626666666666666,0.5324075327917723
6,0.5522222222222223,0.026223163824902095,0.5285265067836245,0.5522222222222223,0.49922849954869924
7,0.5538095238095239,0.024587296463667772,0.5343089947185662,0.5538095238095239,0.5070778692767514
8,0.5604166666666666,0.02888855501943825,0.5438350692183107,0.5604166666666666,0.5190944089313612
9,0.5525925925925925,0.035093447658887916,0.5267753299601301,0.5525925925925925,0.4992008771895297
10,0.5566666666666666,0.0354651628753877,0.5352089080752281,0.5566666666666666,0.5069196783594656
11,0.5584848484848485,0.03430003199231763,0.5397365582481465,0.5584848484848485,0.512291956649686
12,0.5583333333333332,0.03284362500857212,0.5430912176688693,0.5583333333333332,0.5130848227246098
13,0.5599999999999999,0.032078962406222385,0.5459844326876087,0.5599999999999999,0.5181616315184953
14,0.5592857142857143,0.03101915873483322,0.5499713119252293,0.5592857142857143,0.5157509008035918
15,0.5586666666666666,0.03005673647300065,0.5515498747636018,0.5586666666666666,0.5154156298369011
