num_trials,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1score_mean
1,0.9533333333333334,0.0,0.9533333333333334,0.9533333333333334,0.9533333333333334
2,0.9516666666666667,0.0016666666666667052,0.9519169447534297,0.9516666666666667,0.951659720292674
3,0.9466666666666667,0.007200822998230968,0.9471511982141627,0.9466666666666667,0.9466505356623518
4,0.9441666666666666,0.00759202798262026,0.9447683249445292,0.9441666666666666,0.9441459433471908
5,0.9366666666666665,0.016465452046971307,0.9376718794940023,0.9366666666666665,0.9366201734811714
