model,trial,seed,accuracy,precision,recall,f1score,duration_seconds
ClassicalCNN,1,1042,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9933333333333333,2.070293
ClassicalCNN,2,1043,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9933333333333333,1.907107
ClassicalCNN,3,1044,0.99,0.9900217787457221,0.99,0.9899998888876543,1.827956
ClassicalCNN,4,1045,0.9766666666666667,0.9771968854282536,0.9766666666666667,0.9766601833842734,1.864702
ClassicalCNN,5,1046,0.9833333333333333,0.9833548157695897,0.9833333333333333,0.9833331481460906,1.923418
