num_trials,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1score_mean
1,0.6333333333333333,0.0,0.6335470085470085,0.6333333333333333,0.6331866079765239
2,0.6383333333333333,0.0050000000000000044,0.6385965856507256,0.6383333333333333,0.6381628251720175
3,0.6311111111111111,0.010999438818457384,0.6433557343664166,0.6311111111111111,0.6229553965359245
4,0.62,0.021473497877875197,0.6397930189951514,0.62,0.6046312004453795
5,0.6153333333333333,0.02135415650406261,0.631175484957359,0.6153333333333333,0.6030302262162229
